dep,wiki,iso
UD_Afrikaans-AfriBooms,af,
UD_Ancient_Greek-Perseus,,
UD_Ancient_Greek-PROIEL,,
UD_Arabic-NYUAD,ar,ara
UD_Arabic-PADT,ar,ara
UD_Basque-BDT,,
UD_Bulgarian-BTB,bg,bul
UD_Catalan-AnCora,ca,cat
UD_Chinese-GSD,zh,cmn
UD_Chinese-GSDSimp,zh,cmn
UD_Croatian-SET,hr,
UD_Czech-FicTree,cs,ces
UD_Czech-PDT,cs,ces
UD_Danish-DDT,da,dan
UD_Dutch-Alpino,nl,nld
UD_English-ESL,en,eng
UD_English-EWT,en,eng
UD_English-GUM,en,eng
UD_English-LinES,en,eng
UD_Estonian-EDT,,
UD_Finnish-FTB,fi,fin
UD_Finnish-TDT,fi,fin
UD_French-FTB,fr,fra
UD_French-Spoken,fr,fra
UD_Galician-CTG,,
UD_German-GSD,de,deu
UD_German-HDT,de,deu
UD_Greek-GDT,el,ell
UD_Hindi-HDTB,hi,hin
UD_Hungarian-Szeged,hu,hun
UD_Indonesian-GSD,id,
UD_Italian-VIT,it,ita
UD_Japanese-BCCWJ,,
UD_Korean-GSD,ko,kor
UD_Latin-ITTB,,
UD_Latin-PROIEL,,
UD_Latvian-LVTB,lv,lav
UD_Norwegian-Bokmaal,no,nor
UD_Norwegian-Nynorsk,no,nor
UD_Norwegian-NynorskLIA,no,nor
UD_Old_French-SRCMF,,
UD_Polish-LFG,pl,pol
UD_Polish-PDB,pl,pol
UD_Portuguese-Bosque,pt,por
UD_Portuguese-GSD,pt,por
UD_Romanian-Nonstandard,ro,ron
UD_Romanian-RRT,ro,ron
UD_Russian-SynTagRus,ru,rus
UD_Serbian-SET,,
UD_Slovak-SNK,sk,
UD_Slovenian-SSJ,sl,slv
UD_Spanish-AnCora,es,spa
UD_Swedish-LinES,sv,swe
UD_Swedish-Talbanken,sv,swe
UD_Ukrainian-IU,uk,ukr
UD_Urdu-UDTB,,
UD_Uyghur-UDT,,
UD_Vietnamese-VTB,,
UD_Wolof-WTB,,
